Video,Flexing with monty,2010,90,"Comedy,drama,horror"
Movie,The wicker tree,2011,96,"Drama,horror"
Movie,The evil within,2017,98,Horror
Movie,The possession,2012,92,"Horror,thriller"
Video,Monster mountain,2012,91,"Horror,sci-fi"
Movie,Caleuche: el llamado del mar,2012,100,"Drama,fantasy,horror"
Movie,Les 7 jours du talion,2010,105,"Crime,drama,horror"
Movie,The passing,2011,92,Horror
Movie,Sludge,2017,95,Horror
Movie,The crazies,2010,101,"Horror,thriller"
Movie,Satan hates you,2010,94,Horror
Movie,House at the end of the drive,2014,91,"Horror,thriller"
Movie,Piranha 3d,2010,88,"Comedy,horror,thriller"
Video,Within: terror resides...,2011,85,"Horror,thriller"
Movie,El horror de la dama del lago,2010,90,"Fantasy,horror,thriller"
Movie,Perfect life,2010,98,"Horror,thriller"
Movie,The invited,2010,95,"Horror,thriller"
Movie,Bad blood,2012,107,"Horror,mystery,romance"
Movie,Prisoners of the sun,2013,85,"Action,adventure,horror"
Movie,Rings,2017,102,"Drama,horror,romance"
Movie,Night of the templar,2013,101,"Horror,mystery"
Movie,Kill,2011,90,"Comedy,horror,thriller"
Movie,Cell,2016,98,"Action,drama,horror"
Movie,War of the dead,2011,86,"Action,adventure,horror"
Movie,The wolfman,2010,103,"Drama,fantasy,horror"
Video,Carnies,2010,82,"Horror,thriller"
Movie,World war z,2013,116,"Action,adventure,horror"
Movie,Priest,2011,87,"Action,fantasy,horror"
Movie,Return to yucca flats: desert man-beast,2010,79,"Comedy,horror"
Movie,Gallowwalkers,2012,90,"Action,horror,thriller"
Video,Santeria: the soul possessed,2012,82,Horror
Movie,Neowolf,2010,88,"Horror,thriller"
Movie,Travis,2016,98,"Horror,sci-fi,thriller"
Movie,Jack & diane,2012,110,"Drama,horror,romance"
Movie,2001 maniacs: field of screams,2010,84,"Comedy,horror"
Movie,Immortal island,2011,84,"Adventure,horror,thriller"
Movie,Dukun,2018,108,"Horror,thriller"
Movie,My soul to take,2010,107,"Horror,mystery,thriller"
Movie,Red state,2011,88,"Action,crime,horror"
Movie,Rift,2011,100,"Horror,thriller"
Movie,Wreckage,2010,87,"Horror,thriller"
Movie,Hyenas,2011,92,Horror
Movie,Psych:9,2010,98,"Horror,mystery,thriller"
Video,Butchered,2010,71,Horror
Video,Silent vengeance,2011,90,Horror
Movie,The thing,2011,103,"Horror,mystery,sci-fi"
Movie,Proie,2010,90,"Adventure,drama,horror"
Movie,Victim,2010,90,"Horror,thriller"
Movie,The dead undead,2010,89,"Action,horror,sci-fi"
Video,Hogzilla,2014,90,Horror
Movie,Jun-09,2018,95,"Horror,mystery,thriller"
Movie,Silent hill: revelation,2012,95,Horror
Movie,Nine dead,2010,98,"Crime,drama,horror"
Short,Detention,2012,16,"Adventure,comedy,horror"
Movie,You're nobody 'til somebody kills you,2012,86,"Horror,thriller"
Movie,A flat,2010,103,"Drama,horror,romance"
Movie,The gainesville ripper,2010,90,Horror
Movie,Detention,2010,81,"Horror,thriller"
Movie,Last breath,2010,91,Horror
Movie,The cursed,2010,88,"Horror,romance,thriller"
Movie,Splintered,2010,85,"Horror,thriller"
Movie,The tortured,2010,79,"Horror,thriller"
Short,8 butterflies,2010,17,"Drama,horror,short"
Movie,Tied in blood,2012,88,"Drama,horror,mystery"
Movie,The incident,2011,85,"Horror,thriller"
Movie,Poltergeist,2015,93,"Horror,thriller"
Movie,Bad meat,2011,92,"Comedy,horror"
Movie,Cold skin,2017,108,"Adventure,horror,sci-fi"
Movie,Suspiria,2018,152,"Fantasy,horror,mystery"
Movie,Women's studies,2010,96,Horror
Movie,Legion,2010,100,"Action,fantasy,horror"
Movie,Ghost hoax,2010,108,"Horror,mystery,thriller"
Movie,Camp hell,2010,99,"Drama,horror"
Movie,The portal,2010,86,Horror
Movie,The dead matter,2010,90,"Fantasy,horror"
Movie,The ascension,2011,93,"Drama,horror"
Movie,The vampires of zanzibar,2010,106,"Comedy,horror,musical"
Movie,The gauntlet,2013,80,"Action,adventure,horror"
Movie,House of good and evil,2013,108,"Horror,thriller"
Movie,Midnight son,2011,88,Horror
Movie,Blood river,2010,93,Horror
Movie,Winchester,2018,99,"Biography,fantasy,horror"
Movie,The reverend,2011,98,Horror
Movie,Beyond the grave,2010,89,"Action,crime,horror"
Movie,Dark shadows,2012,113,"Comedy,fantasy,horror"
Movie,Elimination,2010,87,"Action,horror,thriller"
